Visit ID,Visit Date,Store ID,Execution Score,On_Shelf,Inventory_Level,Customer ID,Product ID,Sales,Quantity,Price,Planogram_Compliance
20,8/27/2014,ZD-21925,62,1,17,ZD-21925,TEC-PH-10001949,213.48,3,71.16,0
21,8/27/2014,ZD-21925,77,1,9,ZD-21925,OFF-BI-10002215,22.72,4,5.68,1
22,12/9/2016,KB-16585,68,1,17,KB-16585,OFF-AR-10000246,19.46,7,2.78,0
23,12/9/2016,KB-16585,73,1,13,KB-16585,OFF-AP-10001492,60.34,7,8.62,1
24,7/16/2017,SF-20065,83,0,9,SF-20065,FUR-CH-10002774,71.372,2,35.686,1
25,9/25/2015,EB-13870,93,1,13,EB-13870,FUR-TA-10000577,1044.63,3,348.21,1
26,1/16/2016,EH-13945,55,1,21,EH-13945,OFF-BI-10001634,11.648,2,5.824,1
27,1/16/2016,EH-13945,50,1,17,EH-13945,TEC-AC-10003027,90.57,3,30.19,1
28,9/17/2015,TB-21520,100,1,26,TB-21520,FUR-BO-10004834,3083.43,7,440.49,1
29,9/17/2015,TB-21520,69,1,12,TB-21520,OFF-BI-10000474,9.618,2,4.809,0
30,9/17/2015,TB-21520,77,0,23,TB-21520,FUR-FU-10004848,124.2,3,41.4,1
31,9/17/2015,TB-21520,52,0,17,TB-21520,OFF-EN-10001509,3.264,2,1.632,0
32,9/17/2015,TB-21520,72,1,23,TB-21520,OFF-AR-10004042,86.304,6,14.384,1
33,9/17/2015,TB-21520,75,1,13,TB-21520,OFF-BI-10001525,6.858,6,1.143,1
34,9/17/2015,TB-21520,77,0,18,TB-21520,OFF-AR-10001683,15.76,2,7.88,0
35,10/19/2017,MA-17560,90,0,9,MA-17560,OFF-PA-10000249,29.472,3,9.824,1
36,12/8/2016,GH-14485,87,0,17,GH-14485,TEC-PH-10004977,1097.544,7,156.792,1
37,12/8/2016,GH-14485,62,0,16,GH-14485,FUR-FU-10003664,190.92,5,38.184,0
38,12/27/2015,SN-20710,70,1,16,SN-20710,OFF-EN-10002986,113.328,9,12.592,0
39,12/27/2015,SN-20710,81,1,9,SN-20710,FUR-BO-10002545,532.3992,3,177.4664,1
40,12/27/2015,SN-20710,97,1,10,SN-20710,FUR-CH-10004218,212.058,3,70.686,1
41,12/27/2015,SN-20710,67,1,21,SN-20710,TEC-PH-10000486,371.168,4,92.792,1
42,9/10/2017,LC-16930,61,1,23,LC-16930,TEC-PH-10004093,147.168,4,36.792,0
43,7/17/2016,RA-19885,77,1,11,RA-19885,OFF-ST-10003479,77.88,2,38.94,1
44,9/19/2017,ES-14080,76,1,22,ES-14080,OFF-ST-10003282,95.616,2,47.808,1
45,3/11/2016,ON-18715,98,0,12,ON-18715,TEC-AC-10000171,45.98,2,22.99,1
46,3/11/2016,ON-18715,85,1,18,ON-18715,OFF-BI-10003291,17.46,2,8.73,1
47,10/20/2014,PO-18865,68,1,23,PO-18865,OFF-ST-10001713,211.96,4,52.99,1
48,6/20/2016,LH-16900,69,1,15,LH-16900,TEC-AC-10002167,45,3,15,1
49,6/20/2016,LH-16900,57,0,17,LH-16900,TEC-PH-10003988,21.8,2,10.9,0
50,4/18/2015,DP-13000,71,0,26,DP-13000,OFF-BI-10004410,38.22,6,6.37,0
51,4/18/2015,DP-13000,77,1,18,DP-13000,OFF-LA-10002762,75.18,6,12.53,0
52,4/18/2015,DP-13000,60,0,18,DP-13000,FUR-FU-10001706,6.16,2,3.08,1
53,4/18/2015,DP-13000,51,1,21,DP-13000,FUR-CH-10003061,89.99,1,89.99,1
54,12/11/2016,JM-15265,57,0,13,JM-15265,OFF-FA-10000304,15.26,7,2.18,0
55,12/11/2016,JM-15265,87,1,14,JM-15265,TEC-PH-10002447,1029.95,5,205.99,1
56,6/17/2016,TB-21055,67,0,14,TB-21055,OFF-ST-10000604,208.56,6,34.76,1
57,6/17/2016,TB-21055,72,1,10,TB-21055,OFF-PA-10001569,32.4,5,6.48,1
58,6/17/2016,TB-21055,54,0,23,TB-21055,FUR-CH-10003968,319.41,5,63.882,1
59,6/17/2016,TB-21055,99,1,8,TB-21055,OFF-PA-10000587,14.56,2,7.28,0
60,6/17/2016,TB-21055,53,1,11,TB-21055,TEC-AC-10002167,30,2,15,1
61,6/17/2016,TB-21055,75,1,18,TB-21055,OFF-BI-10001460,48.48,4,12.12,0
62,6/17/2016,TB-21055,68,1,19,TB-21055,OFF-AR-10001868,1.68,1,1.68,0
63,11/24/2015,KM-16720,97,1,10,KM-16720,TEC-AC-10004633,13.98,2,6.99,1
64,11/24/2015,KM-16720,98,0,16,KM-16720,OFF-BI-10001078,25.824,6,4.304,0
65,11/24/2015,KM-16720,71,1,20,KM-16720,OFF-PA-10003892,146.73,3,48.91,1
66,11/24/2015,KM-16720,78,1,11,KM-16720,FUR-FU-10000397,79.76,4,19.94,1
67,4/30/2015,PS-18970,97,1,24,PS-18970,FUR-CH-10001146,213.115,5,42.623,1
68,12/5/2014,BS-11590,60,1,18,BS-11590,OFF-AR-10002671,1113.024,8,139.128,1
69,12/5/2014,BS-11590,73,1,21,BS-11590,TEC-PH-10002726,167.968,4,41.992,1
70,6/4/2016,KD-16270,64,1,21,KD-16270,OFF-PA-10000482,75.88,2,37.94,1
71,9/18/2016,HM-14980,83,0,12,HM-14980,OFF-BI-10004654,4.616,1,4.616,1
72,9/14/2017,TB-21520,88,0,8,TB-21520,OFF-PA-10004675,19.05,3,6.35,0
73,4/26/2015,JE-15745,100,1,18,JE-15745,FUR-CH-10000513,831.936,8,103.992,1
74,4/26/2015,JE-15745,78,0,17,JE-15745,FUR-FU-10003708,97.04,2,48.52,1
75,4/26/2015,JE-15745,97,1,15,JE-15745,OFF-ST-10004123,72.784,1,72.784,1
76,12/9/2017,KB-16600,51,0,22,KB-16600,OFF-BI-10004182,1.248,3,0.416,1
77,12/9/2017,KB-16600,50,1,19,KB-16600,FUR-FU-10000260,9.708,3,3.236,0
78,12/9/2017,KB-16600,50,0,8,KB-16600,OFF-ST-10000615,27.24,3,9.08,0
79,11/26/2014,JE-15745,78,1,18,JE-15745,FUR-FU-10003194,19.3,5,3.86,1
80,6/12/2016,SC-20770,81,1,16,SC-20770,OFF-AP-10002118,208.16,1,208.16,1
81,6/12/2016,SC-20770,82,1,8,SC-20770,OFF-BI-10002309,16.74,3,5.58,1
82,10/12/2014,DN-13690,63,1,25,DN-13690,OFF-AR-10002053,14.9,5,2.98,1
83,10/12/2014,DN-13690,77,0,15,DN-13690,OFF-ST-10002370,21.39,1,21.39,1
84,9/3/2015,JC-16105,84,1,17,JC-16105,OFF-EN-10000927,200.984,7,28.712,0
85,11/13/2017,CS-12400,85,1,9,CS-12400,OFF-ST-10003656,230.376,3,76.792,0
86,5/28/2017,PO-18865,70,1,8,PO-18865,FUR-CH-10000863,301.96,2,150.98,0
87,10/26/2017,PG-18895,67,0,15,PG-18895,TEC-AC-10001998,19.99,1,19.99,0
88,10/26/2017,PG-18895,50,1,14,PG-18895,OFF-LA-10000134,6.16,2,3.08,1
89,4/5/2016,GM-14455,63,1,26,GM-14455,OFF-ST-10003442,158.368,7,22.624,1
90,9/17/2016,JS-15685,83,1,23,JS-15685,OFF-AR-10004930,20.1,3,6.7,0
91,9/17/2016,JS-15685,95,0,21,JS-15685,TEC-PH-10004093,73.584,2,36.792,0
92,9/17/2016,JS-15685,100,1,12,JS-15685,OFF-PA-10000304,6.48,1,6.48,1
93,1/31/2015,KB-16315,96,1,18,KB-16315,OFF-PA-10003177,12.96,2,6.48,1
94,1/31/2015,KB-16315,81,1,19,KB-16315,FUR-FU-10003799,53.34,3,17.78,1
95,1/31/2015,KB-16315,98,1,11,KB-16315,OFF-BI-10002852,32.96,2,16.48,0
96,11/6/2017,RB-19705,66,0,10,RB-19705,OFF-BI-10004738,5.682,1,5.682,0
97,11/9/2017,PN-18775,74,1,15,PN-18775,FUR-FU-10000629,96.53,7,13.79,0
98,6/17/2017,KD-16345,53,0,9,KD-16345,OFF-BI-10001721,51.312,3,17.104,0
99,9/6/2016,ER-13855,60,1,19,ER-13855,OFF-AP-10000358,77.88,6,12.98,1
100,8/29/2016,RB-19465,83,0,27,RB-19465,OFF-PA-10003256,64.624,7,9.232,0
101,8/29/2016,RB-19465,50,0,9,RB-19465,TEC-AC-10001767,95.976,3,31.992,1
102,8/29/2016,RB-19465,57,1,15,RB-19465,OFF-BI-10002609,1.788,3,0.596,1
103,12/1/2016,GZ-14470,59,1,16,GZ-14470,OFF-PA-10004040,23.92,4,5.98,1
104,11/13/2015,LC-16870,96,1,26,LC-16870,TEC-AC-10001552,238.896,6,39.816,1
105,11/13/2015,LC-16870,59,1,15,LC-16870,FUR-FU-10004006,102.36,3,34.12,0
106,11/13/2015,LC-16870,68,0,22,LC-16870,OFF-BI-10002794,36.882,3,12.294,1
107,11/23/2017,JM-15250,61,0,15,JM-15250,TEC-AC-10003499,74.112,8,9.264,0
108,11/23/2017,JM-15250,60,1,19,JM-15250,TEC-PH-10002844,27.992,1,27.992,1
109,11/23/2017,JM-15250,80,1,9,JM-15250,OFF-AR-10000390,3.304,1,3.304,1
110,10/15/2015,PA-19060,92,0,11,PA-19060,TEC-AC-10000844,339.96,5,67.992,1
111,12/25/2017,CV-12805,85,1,14,CV-12805,FUR-FU-10001934,41.96,2,20.98,0
112,11/3/2016,CL-12565,60,1,21,CL-12565,OFF-AR-10000380,75.96,2,37.98,1
113,11/3/2016,CL-12565,100,1,23,CL-12565,OFF-BI-10003981,27.24,6,4.54,1
114,8/25/2014,RC-19960,91,1,20,RC-19960,OFF-FA-10000621,40.096,14,2.864,1
115,8/25/2014,RC-19960,86,1,14,RC-19960,OFF-EN-10002600,4.72,2,2.36,1
116,8/25/2014,RC-19960,73,1,18,RC-19960,OFF-PA-10004965,23.976,3,7.992,1
117,8/25/2014,RC-19960,82,1,16,RC-19960,OFF-EN-10002504,130.464,6,21.744,0
118,3/2/2015,DK-13090,76,1,16,DK-13090,FUR-TA-10001768,787.53,3,262.51,1
119,4/5/2015,GG-14650,70,1,20,GG-14650,OFF-BI-10003650,157.794,1,157.794,0
120,6/12/2016,SC-20725,62,1,17,SC-20725,FUR-FU-10002157,47.04,3,15.68,1
121,6/12/2016,SC-20725,93,1,16,SC-20725,OFF-BI-10003910,30.84,4,7.71,0
122,6/12/2016,SC-20725,58,1,23,SC-20725,OFF-ST-10000777,226.56,6,37.76,1
123,6/12/2016,SC-20725,81,1,14,SC-20725,OFF-EN-10002500,115.02,9,12.78,1
124,6/12/2016,SC-20725,94,1,25,SC-20725,TEC-PH-10003875,68.04,7,9.72,1
125,12/26/2014,AD-10180,78,0,12,AD-10180,FUR-CH-10004063,600.558,3,200.186,1
126,9/20/2014,PF-19165,97,1,15,PF-19165,FUR-TA-10004534,617.7,6,102.95,1
127,11/5/2017,TS-21610,96,1,21,TS-21610,OFF-BI-10003274,2.388,2,1.194,0
128,11/5/2017,TS-21610,87,1,13,TS-21610,OFF-ST-10002974,243.992,7,34.856,0
129,11/6/2016,LS-16975,70,0,22,LS-16975,FUR-CH-10001146,81.424,2,40.712,1
130,11/6/2016,LS-16975,98,1,12,LS-16975,FUR-FU-10003773,238.56,3,79.52,1
131,2/2/2017,DW-13585,56,1,12,DW-13585,TEC-PH-10002293,59.97,5,11.994,1
132,2/2/2017,DW-13585,75,1,15,DW-13585,OFF-PA-10002377,78.304,2,39.152,1
133,2/2/2017,DW-13585,79,1,15,DW-13585,OFF-FA-10002780,21.456,9,2.384,1
134,10/13/2016,LC-16885,62,1,15,LC-16885,OFF-PA-10001804,20.04,3,6.68,0
135,10/13/2016,LC-16885,78,1,16,LC-16885,OFF-PA-10001736,35.44,1,35.44,0
136,10/13/2016,LC-16885,88,1,12,LC-16885,OFF-AR-10001149,11.52,4,2.88,1
137,10/13/2016,LC-16885,88,0,19,LC-16885,OFF-FA-10002988,4.02,2,2.01,0
138,10/13/2016,LC-16885,66,1,21,LC-16885,OFF-BI-10004781,76.176,3,25.392,1
139,10/13/2016,LC-16885,91,1,23,LC-16885,OFF-SU-10001218,65.88,6,10.98,0
140,10/13/2016,LC-16885,82,1,34,LC-16885,FUR-FU-10001706,43.12,14,3.08,1
141,9/5/2016,JD-15895,59,1,19,JD-15895,FUR-FU-10004848,82.8,2,41.4,1
142,9/18/2017,SH-19975,70,1,12,SH-19975,OFF-AR-10000940,8.82,3,2.94,1
143,9/18/2017,SH-19975,70,1,23,SH-19975,OFF-EN-10004030,10.86,3,3.62,1
144,9/18/2017,SH-19975,83,1,13,SH-19975,OFF-PA-10004327,143.7,3,47.9,1
145,12/22/2017,SG-20080,50,1,13,SG-20080,OFF-AP-10001058,839.43,3,279.81,1
146,9/7/2015,HA-14920,92,1,22,HA-14920,OFF-ST-10003656,671.93,7,95.99,1
147,10/22/2014,MG-17680,52,1,11,MG-17680,FUR-FU-10000521,93.888,4,23.472,1
148,12/5/2016,JE-16165,99,1,24,JE-16165,TEC-PH-10000215,384.45,11,34.95,0
149,12/5/2016,JE-16165,83,1,20,JE-16165,TEC-PH-10001448,149.97,3,49.99,0
150,12/5/2016,JE-16165,97,1,14,JE-16165,FUR-CH-10000454,1951.84,8,243.98,0
151,12/5/2016,JE-16165,80,0,24,JE-16165,OFF-BI-10002735,171.55,5,34.31,1
152,3/13/2016,TW-21025,98,1,16,TW-21025,OFF-AP-10000326,157.92,5,31.584,1
153,3/13/2016,TW-21025,91,0,14,TW-21025,TEC-PH-10001254,203.184,2,101.592,0
154,5/31/2015,SP-20650,66,1,19,SP-20650,OFF-PA-10001950,58.38,7,8.34,0
155,5/31/2015,SP-20650,91,1,22,SP-20650,OFF-PA-10002254,105.52,4,26.38,1
156,5/31/2015,SP-20650,66,1,19,SP-20650,OFF-ST-10001590,80.88,6,13.48,0
157,5/28/2015,NK-18490,60,1,16,NK-18490,OFF-AR-10001547,6.63,3,2.21,1
158,3/1/2014,DB-13060,80,0,15,DB-13060,FUR-CH-10004063,457.568,2,228.784,1
159,11/20/2016,NP-18670,85,1,17,NP-18670,OFF-LA-10002475,14.62,2,7.31,0
160,11/20/2016,NP-18670,66,1,12,NP-18670,TEC-PH-10004536,944.93,7,134.99,1
161,5/11/2016,TT-21070,51,0,12,TT-21070,OFF-PA-10002751,5.98,1,5.98,1
162,12/28/2015,EM-13960,53,1,14,EM-13960,TEC-AC-10003657,54.384,2,27.192,1
163,11/16/2016,RD-19900,64,1,17,RD-19900,OFF-EN-10001990,28.4,5,5.68,1
164,11/7/2016,MJ-17740,88,1,14,MJ-17740,OFF-BI-10004002,27.68,2,13.84,1
165,9/8/2014,BM-11140,50,1,11,BM-11140,OFF-AR-10004441,9.936,3,3.312,1
166,9/8/2014,BM-11140,61,0,25,BM-11140,TEC-MA-10000822,8159.952,8,1019.994,1
167,9/8/2014,BM-11140,84,1,11,BM-11140,OFF-ST-10000991,275.928,3,91.976,1
168,9/8/2014,BM-11140,70,0,26,BM-11140,FUR-CH-10004287,1740.06,9,193.34,0
169,9/8/2014,BM-11140,52,1,17,BM-11140,OFF-AR-10002656,32.064,6,5.344,1
170,9/8/2014,BM-11140,56,0,13,BM-11140,OFF-AP-10002518,177.98,5,35.596,1
171,9/8/2014,BM-11140,50,0,18,BM-11140,TEC-PH-10003931,143.976,3,47.992,1
172,8/5/2014,CS-12130,53,1,18,CS-12130,OFF-PA-10000659,20.94,3,6.98,1
173,8/5/2014,CS-12130,99,1,7,CS-12130,OFF-PA-10001144,110.96,2,55.48,1
174,8/5/2014,CS-12130,99,1,24,CS-12130,FUR-CH-10003817,340.144,7,48.592,1
175,9/14/2014,JB-15400,89,1,17,JB-15400,OFF-AP-10000891,52.448,2,26.224,0
176,9/14/2014,JB-15400,99,0,22,JB-15400,OFF-LA-10003148,20.16,4,5.04,1
177,4/21/2017,SJ-20500,58,1,24,SJ-20500,OFF-AP-10002684,97.264,4,24.316,0
178,11/21/2015,JE-15745,76,1,22,JE-15745,FUR-CH-10004698,396.802,7,56.686,0
179,11/21/2015,JE-15745,80,1,19,JE-15745,OFF-SU-10002189,15.88,5,3.176,1
180,12/15/2015,JK-15640,77,0,11,JK-15640,OFF-AR-10001940,3.28,1,3.28,1
181,12/5/2014,DK-13150,100,1,10,DK-13150,OFF-ST-10003455,24.816,2,12.408,0
182,12/5/2014,DK-13150,81,1,15,DK-13150,TEC-AC-10004659,408.744,7,58.392,1
183,11/19/2014,RM-19675,75,1,22,RM-19675,TEC-PH-10003273,503.96,4,125.99,0
184,11/19/2014,RM-19675,57,0,16,RM-19675,TEC-PH-10004896,149.95,5,29.99,1
185,11/19/2014,RM-19675,78,1,11,RM-19675,TEC-AC-10002345,29,2,14.5,1
186,11/28/2016,SK-19990,50,1,7,SK-19990,OFF-BI-10001890,7.16,2,3.58,0
187,8/26/2014,FM-14290,81,1,17,FM-14290,TEC-AC-10002323,176.8,8,22.1,1
188,7/16/2016,AM-10360,71,0,11,AM-10360,OFF-ST-10001328,37.224,3,12.408,1
189,7/16/2016,AM-10360,76,1,18,AM-10360,OFF-PA-10001950,20.016,3,6.672,1
190,10/12/2015,MP-17470,50,0,9,MP-17470,FUR-BO-10002613,899.136,4,224.784,0
191,10/12/2015,MP-17470,97,0,15,MP-17470,TEC-PH-10001552,71.76,6,11.96,0
192,10/12/2015,MP-17470,83,1,20,MP-17470,OFF-PA-10000061,51.84,8,6.48,1
193,10/12/2015,MP-17470,79,1,17,MP-17470,FUR-BO-10002545,626.352,3,208.784,1
194,10/12/2015,MP-17470,85,0,25,MP-17470,OFF-AR-10003514,19.9,5,3.98,1
195,10/31/2015,MZ-17515,62,1,27,MZ-17515,OFF-EN-10001509,14.28,7,2.04,0
196,3/21/2014,CB-12025,64,1,22,CB-12025,OFF-AR-10004685,7.408,2,3.704,1
197,3/21/2014,CB-12025,71,1,10,CB-12025,OFF-AR-10004027,6.048,3,2.016,1
198,11/6/2017,VM-21685,64,1,11,VM-21685,OFF-ST-10001414,46.26,3,15.42,1
199,7/6/2017,FH-14365,80,1,21,FH-14365,OFF-BI-10000343,2.946,2,1.473,0
200,7/6/2017,FH-14365,78,0,19,FH-14365,OFF-PA-10002749,16.056,3,5.352,1
201,6/24/2017,MB-17305,56,1,12,MB-17305,OFF-PA-10002666,21.744,3,7.248,1
202,8/3/2014,BS-11755,72,0,7,BS-11755,FUR-TA-10004289,218.75,2,109.375,1
203,8/3/2014,BS-11755,84,1,9,BS-11755,OFF-AP-10003622,2.6,1,2.6,1
204,12/17/2017,LC-17140,54,1,21,LC-17140,OFF-AP-10003217,66.284,2,33.142,1
205,6/3/2017,HK-14890,82,0,16,HK-14890,FUR-FU-10002960,35.168,7,5.024,0
206,12/9/2017,LE-16810,83,1,22,LE-16810,TEC-PH-10001918,444.768,4,111.192,1
207,12/1/2017,JH-15985,67,1,20,JH-15985,OFF-ST-10000642,83.92,4,20.98,0
208,12/1/2017,JH-15985,77,0,17,JH-15985,TEC-PH-10001700,131.98,2,65.99,1
209,12/1/2017,JH-15985,59,1,14,JH-15985,OFF-BI-10003274,15.92,4,3.98,0
210,12/1/2017,JH-15985,66,1,27,JH-15985,OFF-FA-10000134,52.29,9,5.81,1
211,12/1/2017,JH-15985,62,1,16,JH-15985,OFF-ST-10001522,91.99,1,91.99,0
212,2/9/2015,MS-17980,91,1,13,MS-17980,TEC-AC-10001266,20.8,2,10.4,1
213,1/2/2015,VW-21775,76,1,17,VW-21775,OFF-LA-10004544,23.68,2,11.84,1
214,1/2/2015,VW-21775,62,1,19,VW-21775,FUR-BO-10004695,452.45,5,90.49,0
215,1/2/2015,VW-21775,67,0,9,VW-21775,TEC-PH-10002844,62.982,3,20.994,1
216,1/2/2015,VW-21775,80,1,22,VW-21775,TEC-MA-10000864,1188,9,132,0
217,1/2/2015,VW-21775,79,1,10,VW-21775,TEC-AC-10000109,89.584,2,44.792,0
218,10/28/2016,JH-15910,56,0,24,JH-15910,OFF-ST-10001328,93.06,6,15.51,0
219,10/28/2016,JH-15910,70,1,17,JH-15910,TEC-PH-10002563,302.376,3,100.792,1
220,12/24/2015,JB-15925,73,1,10,JB-15925,OFF-FA-10000585,5.584,2,2.792,0
221,12/24/2015,JB-15925,69,0,20,JB-15925,OFF-PA-10004000,22.704,6,3.784,1
222,12/24/2015,JB-15925,67,1,19,JB-15925,OFF-BI-10002852,19.776,4,4.944,0
223,12/24/2015,JB-15925,58,0,11,JB-15925,FUR-FU-10000087,72.704,4,18.176,1
224,12/24/2015,JB-15925,90,0,17,JB-15925,TEC-MA-10001148,479.988,4,119.997,1
225,12/24/2015,JB-15925,70,1,19,JB-15925,OFF-AR-10001958,27.168,2,13.584,1
226,8/9/2015,DS-13180,86,1,7,DS-13180,OFF-AR-10001026,2.2,1,2.2,1
227,8/9/2015,DS-13180,79,0,16,DS-13180,FUR-TA-10003748,622.45,5,124.49,1
228,8/9/2015,DS-13180,51,1,13,DS-13180,OFF-ST-10002485,21.98,1,21.98,1
229,2/28/2015,VD-21670,72,0,12,VD-21670,FUR-CH-10004860,161.568,2,80.784,1
230,2/28/2015,VD-21670,54,0,27,VD-21670,FUR-CH-10004477,389.696,8,48.712,0
231,9/13/2014,EA-14035,67,0,12,EA-14035,OFF-BI-10001679,18.648,7,2.664,1
232,4/7/2017,CS-12400,83,1,18,CS-12400,FUR-TA-10001705,233.86,2,116.93,0
233,4/7/2017,CS-12400,86,1,21,CS-12400,FUR-TA-10003473,620.6145,3,206.8715,1
234,4/7/2017,CS-12400,86,1,22,CS-12400,OFF-BI-10001679,5.328,2,2.664,1
235,4/7/2017,CS-12400,68,1,9,CS-12400,FUR-FU-10004017,258.072,3,86.024,0
236,4/7/2017,CS-12400,71,0,20,CS-12400,TEC-AC-10003832,617.976,3,205.992,1
237,11/12/2017,DB-13120,52,1,12,DB-13120,OFF-PA-10002479,10.56,2,5.28,1
238,6/4/2016,KL-16645,65,1,19,KL-16645,OFF-PA-10003349,25.92,5,5.184,1
239,6/4/2016,KL-16645,94,1,18,KL-16645,FUR-FU-10000576,419.68,5,83.936,1
240,6/4/2016,KL-16645,77,1,13,KL-16645,FUR-FU-10004351,11.688,3,3.896,0
241,6/4/2016,KL-16645,85,0,15,KL-16645,TEC-PH-10000011,31.984,2,15.992,0
242,6/4/2016,KL-16645,62,1,12,KL-16645,FUR-TA-10002607,177.225,5,35.445,0
243,6/4/2016,KL-16645,56,0,11,KL-16645,FUR-FU-10002505,4.044,3,1.348,1
244,6/4/2016,KL-16645,89,0,20,KL-16645,OFF-AR-10004685,7.408,2,3.704,1
245,6/1/2014,DW-13480,57,1,26,DW-13480,FUR-CH-10004063,2001.86,7,285.98,1
246,6/1/2014,DW-13480,66,1,10,DW-13480,OFF-ST-10002276,166.72,2,83.36,1
247,6/1/2014,DW-13480,77,1,13,DW-13480,OFF-PA-10004082,47.88,6,7.98,1
248,6/1/2014,DW-13480,76,0,22,DW-13480,OFF-AP-10002945,1503.25,5,300.65,1
249,6/1/2014,DW-13480,50,0,11,DW-13480,OFF-PA-10000061,25.92,4,6.48,0
250,12/10/2016,LH-17155,82,1,9,LH-17155,FUR-CH-10002965,321.568,2,160.784,1
251,9/11/2016,KC-16540,83,1,17,KC-16540,OFF-PA-10004569,7.61,1,7.61,1
252,9/11/2016,KC-16540,91,1,29,KC-16540,TEC-AC-10003832,3347.37,13,257.49,1
253,12/10/2016,DL-13315,50,1,19,DL-13315,OFF-ST-10001228,80.58,6,13.43,1
254,12/10/2016,DL-13315,97,0,11,DL-13315,OFF-EN-10003296,361.92,4,90.48,1
255,11/28/2015,DR-12880,85,0,14,DR-12880,FUR-FU-10002505,12.132,9,1.348,1
256,11/28/2015,DR-12880,74,1,21,DR-12880,OFF-ST-10004804,82.368,2,41.184,0
257,11/28/2015,DR-12880,93,1,24,DR-12880,OFF-ST-10001590,53.92,5,10.784,1
258,11/28/2015,DR-12880,71,1,14,DR-12880,TEC-PH-10001580,647.904,6,107.984,0
259,12/1/2017,CC-12670,61,0,15,CC-12670,TEC-AC-10000290,20.37,3,6.79,1
260,12/1/2017,CC-12670,59,0,23,CC-12670,OFF-ST-10002790,221.55,3,73.85,1
261,12/1/2017,CC-12670,94,1,13,CC-12670,OFF-BI-10003460,17.52,5,3.504,1
262,6/8/2017,Dl-13600,51,1,21,Dl-13600,OFF-AP-10002203,1.624,2,0.812,0
263,9/19/2014,SB-20290,67,1,8,SB-20290,TEC-MA-10000822,3059.982,3,1019.994,1
264,9/19/2014,SB-20290,58,1,23,SB-20290,TEC-MA-10003353,2519.958,7,359.994,1
265,6/6/2016,RC-19825,100,1,9,RC-19825,TEC-PH-10001433,328.224,4,82.056,1
266,11/10/2015,AH-10210,54,0,13,AH-10210,TEC-AC-10004469,79.9,2,39.95,1
267,6/16/2017,CB-12535,60,1,15,CB-12535,OFF-AR-10003602,14.016,3,4.672,1
268,1/22/2016,PG-18895,74,0,20,PG-18895,OFF-FA-10003472,7.56,6,1.26,1
269,12/9/2017,CA-12310,83,0,6,CA-12310,OFF-ST-10004180,37.208,1,37.208,1
270,12/9/2017,CA-12310,95,0,11,CA-12310,OFF-EN-10004386,57.576,3,19.192,1
271,12/28/2017,KH-16690,83,1,16,KH-16690,OFF-ST-10003208,725.84,4,181.46,1
272,7/30/2015,HA-14920,56,1,13,HA-14920,TEC-AC-10003628,209.93,7,29.99,1
273,7/30/2015,HA-14920,69,0,13,HA-14920,FUR-FU-10003274,5.28,3,1.76,0
274,7/30/2015,HA-14920,63,0,17,HA-14920,OFF-BI-10002557,10.92,3,3.64,0
275,9/16/2017,BB-10990,83,1,8,BB-10990,OFF-PA-10002615,8.82,2,4.41,1
276,9/16/2017,BB-10990,94,1,7,BB-10990,OFF-AR-10001427,5.98,1,5.98,1
